danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,genre
0.763,0.726,-6.405,0.282,0.259,0.0,0.0976,0.349,Hiphop
0.504,0.971,-6.5520000000000005,0.0599,0.00348,0.00239,0.147,0.265,trance
0.765,0.6659999999999999,-5.384,0.172,0.102,0.0,0.1159999999999999,0.7559999999999999,Hiphop
0.489,0.74,-3.432,0.105,0.0327,0.0,0.0776,0.515,trap
0.7170000000000001,0.598,-5.613,0.0809,0.22,0.0,0.122,0.496,Rap
0.5670000000000001,0.93,-5.372999999999998,0.412,0.00652,0.109,0.176,0.274,trap
0.662,0.815,-8.339,0.0391,0.00964,0.787,0.101,0.0566,trance
0.306,0.6940000000000001,-4.502,0.121,0.0139,0.00117,0.0917,0.113,trap
0.547,0.63,-8.772,0.493,0.0123,0.00233,0.14,0.555,Hiphop
0.7340000000000001,0.57,-7.066,0.133,0.847,2.14e-05,0.1119999999999999,0.6890000000000001,Rap
0.648,0.968,-6.157,0.0965,0.000453,0.759,0.687,0.0906,trap
0.904,0.638,-6.297000000000001,0.2289999999999999,0.186,0.0,0.193,0.604,Rap
0.777,0.627,-6.142,0.0792,0.356,0.0,0.0956,0.444,Pop
0.303,0.905,-3.25,0.0863,0.000283,0.8290000000000001,0.122,0.171,trap
0.53,0.994,-3.71,0.0829,0.000897,0.865,0.235,0.163,trance
0.723,0.7859999999999999,-5.093999999999999,0.313,0.0521,0.0,0.318,0.516,Hiphop
0.478,0.94,-2.208,0.05,0.000723,0.0107,0.141,0.477,trap
0.73,0.993,-0.356,0.393,0.0874,0.000312,0.168,0.356,trap
0.887,0.812,-4.172,0.111,0.00677,0.408,0.0955,0.126,trance
0.6509999999999999,0.833,-5.153,0.0847,0.0201,0.0,0.109,0.594,Rap
0.272,0.72,-6.0760000000000005,0.0794,0.000247,0.13,0.098,0.154,trap
0.5760000000000001,0.974,-0.051,0.391,0.0272,0.5529999999999999,0.125,0.542,trap
0.693,0.879,-3.988,0.0578,0.193,0.0,0.124,0.753,Pop
0.586,0.87,-4.053999999999999,0.172,0.00203,0.475,0.439,0.257,trap
0.927,0.373,-7.877999999999999,0.385,0.331,0.0,0.171,0.5479999999999999,Hiphop
0.722,0.356,-13.966,0.0828,0.528,0.0289999999999999,0.0938,0.0638,Rap
0.768,0.471,-8.406,0.259,0.0201,0.0,0.268,0.405,Rap
0.537,0.994,-6.332999999999998,0.0752,0.000632,0.904,0.3229999999999999,0.205,trance
0.851,0.85,-3.4,0.0904,0.226,0.0,0.145,0.642,Rap
0.583,0.963,-3.434,0.425,0.0078099999999999,0.134,0.237,0.141,trap
0.5429999999999999,0.3939999999999999,-9.637,0.0864,0.695,0.000239,0.108,0.118,Hiphop
0.885,0.936,-5.879,0.0894,0.148,0.0,0.0703,0.763,Rap
0.7190000000000001,0.6779999999999999,-6.399,0.1159999999999999,0.39,0.0,0.142,0.545,Rap
0.639,0.951,-4.635,0.0524,0.000156,0.845,0.031,0.112,trance
0.797,0.569,-8.554,0.1119999999999999,0.153,0.0,0.296,0.51,Hiphop
0.502,0.981,-1.569,0.0613,0.00169,0.5,0.154,0.213,trap
0.417,0.963,-5.265,0.192,0.00632,0.000161,0.325,0.0648,trance
0.528,0.959,-7.1720000000000015,0.0996,0.000183,0.0331,0.701,0.119,trance
0.7070000000000001,0.5529999999999999,-5.935,0.0827,0.0375,0.0,0.2739999999999999,0.237,Hiphop
0.488,0.8220000000000001,-11.269,0.0751,0.00079,0.899,0.537,0.123,trance
0.405,0.902,-3.096,0.0687,2.68e-05,0.8,0.0846,0.177,trap
0.605,0.935,-0.39,0.331,0.0751,1.23e-05,0.35,0.482,trap
0.296,0.8109999999999999,-5.408,0.0669,0.0076599999999999,0.0105,0.127,0.166,trap
0.333,0.99,-7.564,0.0596,0.000232,0.901,0.0826,0.34,trance
0.542,0.434,-11.17,0.0645,0.176,0.0,0.178,0.0702,Rap
0.647,0.706,-6.023,0.1369999999999999,0.264,0.0,0.114,0.5770000000000001,Rap
0.639,0.8440000000000001,-5.9460000000000015,0.0409,0.000332,0.147,0.708,0.0616,trance
0.7240000000000001,0.888,-3.264,0.504,0.0171,1.16e-05,0.276,0.368,trap
0.621,0.95,-5.912000000000001,0.0628,0.000623,0.7859999999999999,0.785,0.0913,trance
0.8220000000000001,0.461,-6.506,0.449,0.3279999999999999,0.0,0.122,0.268,Rap
0.747,0.789,-7.176,0.0674,0.00227,0.532,0.093,0.163,trap
0.764,0.682,-9.627,0.151,0.0727,0.195,0.1119999999999999,0.66,Hiphop
0.611,0.8909999999999999,-7.812,0.0285,0.0157,0.0934,0.113,0.505,trance
0.6559999999999999,0.937,-1.255,0.34,0.00424,0.000168,0.104,0.391,trap
0.725,0.722,-4.824,0.0712,0.00416,0.19,0.181,0.345,trap
0.591,0.935,0.106,0.321,0.0247,0.0,0.364,0.375,trap
0.606,0.952,-2.158,0.193,0.000474,0.0381,0.917,0.07,trap
0.475,0.988,-4.267,0.0611,3.510000000000001e-05,0.528,0.534,0.438,trance
0.534,0.982,-3.771,0.0742,0.0108,4.35e-05,0.377,0.109,trance
0.645,0.585,-6.122000000000001,0.0513,0.00314,0.0,0.165,0.353,Pop
