danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,genre
0.684,0.7909999999999999,-4.435,0.309,0.0939,0.0,0.359,0.529,236948,Rap
0.868,0.479,-6.687,0.445,0.703,0.0,0.102,0.7759999999999999,115200,Rap
0.6990000000000001,0.321,-11.684,0.122,0.503,0.0,0.105,0.171,155867,Rap
0.529,0.8,-7.025,0.166,0.155,0.0,0.0858,0.356,728413,Rap
0.611,0.688,-5.688,0.341,0.0264,0.0,0.251,0.3929999999999999,132303,Rap
0.527,0.5539999999999999,-7.917000000000001,0.337,0.471,0.0,0.276,0.586,161120,Rap
0.802,0.737,-4.862,0.0757,0.275,0.0,0.113,0.7120000000000001,211654,Rap
0.856,0.6940000000000001,-4.393,0.1689999999999999,0.371,0.0,0.109,0.489,324189,Rap
0.8420000000000001,0.715,-6.03,0.0912,0.0265,0.0554,0.0831,0.428,160952,Rap
0.7090000000000001,0.6759999999999999,-7.369,0.3289999999999999,0.162,0.0,0.349,0.68,205460,Rap
0.736,0.67,-6.702000000000001,0.311,0.186,0.0,0.114,0.845,169999,Rap
0.496,0.785,-3.472,0.306,0.0328,0.0,0.0941,0.357,318360,Rap
0.904,0.575,-7.822999999999999,0.346,0.0493,0.0,0.256,0.359,177748,Rap
0.8440000000000001,0.513,-8.769,0.335,0.178,0.0,0.0845,0.344,244941,Rap
0.654,0.753,-7.556,0.395,0.303,8.08e-05,0.13,0.371,723573,Rap
0.511,0.5660000000000001,-7.23,0.2,0.349,0.0,0.34,0.218,239836,Rap
0.713,0.482,-10.581,0.0943,0.0444,0.0,0.332,0.239,143935,Rap
0.568,0.905,-4.96,0.377,0.3979999999999999,0.00113,0.0839,0.5329999999999999,182779,Rap
0.768,0.471,-8.406,0.259,0.0201,0.0,0.268,0.405,267427,Rap
0.741,0.87,-3.494,0.503,0.00813,0.0,0.114,0.6629999999999999,254723,Rap
0.8390000000000001,0.6679999999999999,-6.01,0.307,0.486,3.95e-06,0.172,0.638,141971,Rap
0.5589999999999999,0.733,-7.256,0.217,0.126,0.0,0.08,0.4539999999999999,210640,Rap
0.444,0.645,-5.696000000000001,0.271,0.0735,5.07e-06,0.142,0.413,226743,Rap
0.8490000000000001,0.536,-7.307,0.349,0.0239,0.0,0.126,0.308,122587,Rap
0.8340000000000001,0.73,-3.714,0.222,0.00513,0.0,0.124,0.446,312820,Rap
0.871,0.555,-5.968,0.248,0.203,0.0,0.118,0.248,170192,Rap
0.746,0.653,-6.745,0.289,0.3779999999999999,0.0,0.2289999999999999,0.672,253107,Rap
0.701,0.856,-5.465,0.2189999999999999,0.239,0.0,0.106,0.563,559533,Rap
0.645,0.595,-6.876,0.258,0.00112,0.0,0.084,0.461,192009,Rap
0.711,0.5429999999999999,-12.692,0.1119999999999999,0.412,0.0,0.505,0.8009999999999999,150959,Rap
0.7120000000000001,0.481,-5.415,0.0487,0.173,0.0,0.241,0.062,196138,Rap
0.973,0.434,-11.133,0.17,0.102,4.51e-06,0.128,0.52,144508,Rap
0.528,0.77,-9.256,0.363,0.067,3.28e-05,0.151,0.374,193487,Rap
0.71,0.3979999999999999,-9.964,0.257,0.0663,0.0,0.146,0.293,174838,Rap
0.833,0.434,-8.795,0.431,0.0102,0.0219,0.165,0.281,204600,Rap
0.782,0.436,-7.033,0.155,0.331,1.3e-05,0.342,0.243,268933,Rap
0.706,0.373,-12.61,0.31,0.637,0.0,0.0993,0.8270000000000001,117726,Rap
0.802,0.616,-9.74,0.7120000000000001,0.7140000000000001,0.0,0.0929,0.606,206811,Rap
0.867,0.561,-5.564,0.1159999999999999,0.0118,0.0,0.111,0.608,153061,Rap
0.948,0.5379999999999999,-7.527,0.408,0.0212,0.0,0.0944,0.588,229122,Rap
0.687,0.672,-5.975,0.0573,0.198,0.0,0.175,0.792,261000,Rap
0.866,0.5429999999999999,-6.64,0.316,0.0409999999999999,0.000173,0.105,0.289,147021,Rap
0.7290000000000001,0.625,-5.266,0.0315,0.1939999999999999,0.0098599999999999,0.248,0.261,183907,Rap
0.763,0.5720000000000001,-7.312,0.0595,0.493,0.00118,0.106,0.25,190472,Rap
0.755,0.615,-8.245,0.0454,0.00587,1.75e-06,0.109,0.039,215364,Rap
0.892,0.607,-7.232,0.367,0.144,0.000314,0.0909,0.244,272720,Rap
0.7959999999999999,0.731,-6.501,0.285,0.0101,0.0,0.122,0.645,143529,Rap
0.8640000000000001,0.598,-8.076,0.238,0.0673,0.0,0.154,0.4639999999999999,151547,Rap
0.792,0.5710000000000001,-7.539,0.094,0.301,0.0,0.1,0.556,139200,Rap
0.539,0.937,-5.265,0.123,0.0599,2e-06,0.0915,0.775,268069,Rap
0.529,0.9,-3.503,0.418,0.000248,1.21e-05,0.0426,0.434,104591,Rap
0.715,0.654,-5.412999999999999,0.181,0.193,7.04e-06,0.0878,0.425,278112,Rap
0.6890000000000001,0.777,-5.465,0.289,0.289,0.0,0.104,0.492,85714,Rap
0.622,0.494,-8.517999999999999,0.457,0.0298,0.0,0.149,0.166,208968,Rap
0.778,0.7070000000000001,-3.606,0.0746,0.0459,0.0,0.111,0.4579999999999999,190355,Rap
0.835,0.413,-9.81,0.396,0.373,0.00133,0.1009999999999999,0.111,258880,Rap
0.797,0.389,-11.448,0.152,0.235,0.0,0.1689999999999999,0.764,129071,Rap
0.723,0.743,-11.342,0.26,0.256,3.15e-05,0.172,0.629,185517,Rap
0.9,0.385,-12.189,0.435,0.371,0.0,0.142,0.488,174336,Rap
0.909,0.414,-7.316,0.3,0.0033299999999999,3.4e-06,0.114,0.138,200733,Rap
0.563,0.496,-9.381,0.406,0.0685,5.8e-05,0.173,0.426,329320,Rap
0.892,0.568,-5.522,0.0768,0.123,0.0,0.107,0.423,204862,Rap
0.8859999999999999,0.525,-7.39,0.132,0.236,0.0,0.057,0.708,225205,Rap
0.637,0.616,-6.492999999999999,0.0459,0.223,0.0,0.181,0.414,138469,Rap
0.885,0.52,-8.353,0.359,0.000244,1.16e-06,0.4539999999999999,0.306,148656,Rap
0.809,0.461,-5.6770000000000005,0.0907,0.000832,4.429999999999999e-05,0.143,0.325,167410,Rap
0.711,0.838,-3.553,0.122,0.00607,0.0,0.0898,0.53,224770,Rap
0.54,0.77,-3.981,0.389,0.1939999999999999,2.7399999999999995e-05,0.372,0.565,204000,Rap
0.861,0.481,-7.309,0.3429999999999999,0.125,1.3800000000000002e-05,0.0903,0.188,195736,Rap
0.531,0.75,-5.831,0.111,0.00632,7.6e-05,0.1169999999999999,0.198,200080,Rap
0.8540000000000001,0.98,-1.181,0.0569,0.263,0.00053,0.5479999999999999,0.255,122000,Rap
0.8140000000000001,0.6609999999999999,-6.452999999999999,0.356,0.186,0.0,0.163,0.474,168307,Rap
0.691,0.602,-6.807,0.209,0.123,0.0,0.0637,0.685,189480,Rap
0.675,0.5770000000000001,-5.431,0.3379999999999999,0.331,0.0,0.0857,0.568,222680,Rap
0.711,0.7390000000000001,-3.804,0.129,0.114,0.0,0.226,0.43,252256,Rap
0.7909999999999999,0.5870000000000001,-5.075,0.0413,0.407,0.0,0.148,0.536,179449,Rap
0.7170000000000001,0.753,-4.609,0.311,0.293,0.0,0.158,0.631,174012,Rap
0.904,0.492,-9.657,0.155,0.00119,0.364,0.125,0.257,223275,Rap
0.913,0.625,-6.901,0.3339999999999999,0.0168,0.0,0.125,0.298,177704,Rap
0.884,0.445,-10.58,0.418,0.222,0.0,0.1119999999999999,0.851,138427,Rap
0.7020000000000001,0.708,-5.3660000000000005,0.0547,0.201,0.0,0.118,0.713,198408,Rap
0.894,0.618,-4.356,0.129,0.0808,0.0,0.5579999999999999,0.379,161320,Rap
0.562,0.604,-7.497999999999999,0.1969999999999999,0.326,0.0,0.416,0.562,176540,Rap
0.7290000000000001,0.442,-8.106,0.285,0.151,0.0,0.1889999999999999,0.757,259307,Rap
0.542,0.434,-11.17,0.0645,0.176,0.0,0.178,0.0702,232000,Rap
