danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,genre
0.7340000000000001,0.57,-7.066,0.133,0.847,2.14e-05,0.1119999999999999,0.6890000000000001,Rap
0.688,0.6579999999999999,-4.155,0.0695,0.105,1.89e-06,0.335,0.28,Rap
0.733,0.574,-6.409,0.266,0.243,0.0,0.231,0.305,Rap
0.7959999999999999,0.672,-6.255,0.24,0.0885,0.000403,0.0693,0.218,Rap
0.838,0.455,-8.467,0.263,0.00386,0.0,0.0988,0.341,Rap
0.6829999999999999,0.799,-5.922999999999999,0.3,0.456,0.0,0.264,0.752,Rap
0.517,0.8109999999999999,-4.526,0.286,0.186,0.0,0.105,0.494,Rap
0.775,0.542,-7.532,0.474,0.162,0.0,0.14,0.326,Rap
0.645,0.595,-6.876,0.258,0.00112,0.0,0.084,0.461,Rap
0.7759999999999999,0.64,-8.058,0.184,0.149,0.0,0.1009999999999999,0.326,Rap
0.545,0.638,-9.918,0.0534,0.0643,0.0793,0.1159999999999999,0.276,Rap
0.389,0.768,-4.765,0.256,0.038,0.0,0.119,0.3339999999999999,Rap
0.6659999999999999,0.609,-6.393,0.0509,0.1,0.000102,0.0747,0.1989999999999999,Rap
0.616,0.617,-8.431000000000001,0.52,0.128,0.0,0.177,0.476,Rap
0.8540000000000001,0.98,-1.181,0.0569,0.263,0.00053,0.5479999999999999,0.255,Rap
0.598,0.713,-3.625,0.0326,0.0207,0.000175,0.431,0.118,Rap
0.804,0.763,-5.48,0.0519,0.0678,0.0,0.368,0.0585,Rap
0.7240000000000001,0.716,-5.257999999999999,0.385,0.00843,0.0,0.892,0.812,Rap
0.7120000000000001,0.562,-6.007999999999999,0.129,0.125,0.0,0.136,0.142,Rap
0.6920000000000001,0.713,-4.489,0.351,0.3429999999999999,0.0,0.102,0.615,Rap
0.823,0.552,-7.57,0.324,0.0174,0.0,0.122,0.418,Rap
0.8540000000000001,0.569,-8.151,0.106,0.0609,0.0816,0.1,0.294,Rap
0.4679999999999999,0.8370000000000001,-5.654,0.381,0.187,0.0,0.687,0.605,Rap
0.901,0.4639999999999999,-9.789,0.0645,0.368,1.7100000000000002e-05,0.238,0.638,Rap
0.922,0.909,-2.4290000000000003,0.27,0.0281,0.0,0.0856,0.309,Rap
0.861,0.52,-5.497999999999999,0.472,0.193,0.0,0.109,0.384,Rap
0.875,0.519,-3.056,0.0663,0.541,1.09e-05,0.109,0.0568,Rap
0.687,0.575,-8.169,0.4539999999999999,0.0473,0.0,0.0981,0.3939999999999999,Rap
0.64,0.818,-1.999,0.26,0.0148,0.0,0.13,0.4029999999999999,Rap
0.904,0.492,-9.657,0.155,0.00119,0.364,0.125,0.257,Rap
0.578,0.42,-12.558,0.19,0.123,1.66e-05,0.196,0.208,Rap
0.677,0.421,-10.19,0.14,0.695,0.0,0.139,0.609,Rap
0.743,0.731,-6.956,0.345,0.0193,0.0,0.108,0.593,Rap
0.95,0.489,-8.411,0.462,0.105,0.0,0.411,0.919,Rap
0.8390000000000001,0.6679999999999999,-6.01,0.307,0.486,3.95e-06,0.172,0.638,Rap
0.856,0.6940000000000001,-4.393,0.1689999999999999,0.371,0.0,0.109,0.489,Rap
0.731,0.6609999999999999,-6.562,0.376,0.145,0.0,0.12,0.369,Rap
0.5579999999999999,0.479,-7.237999999999999,0.144,0.148,0.0,0.1119999999999999,0.129,Rap
0.6859999999999999,0.648,-6.055,0.0913,0.0491,0.0,0.382,0.0538,Rap
0.868,0.654,-4.832,0.0766,0.208,0.0,0.187,0.299,Rap
0.913,0.391,-11.158,0.368,0.272,0.0,0.0666,0.713,Rap
0.747,0.5529999999999999,-7.294,0.1169999999999999,0.281,0.0,0.1169999999999999,0.262,Rap
0.701,0.71,-5.209,0.068,0.00126,0.0,0.32,0.138,Rap
0.769,0.526,-11.128,0.134,0.296,0.0,0.0675,0.387,Rap
0.6990000000000001,0.321,-11.684,0.122,0.503,0.0,0.105,0.171,Rap
0.614,0.66,-2.8480000000000003,0.0441,0.19,0.0,0.211,0.452,Rap
0.949,0.6609999999999999,-4.244,0.0572,0.0302,0.0,0.0454,0.76,Rap
0.795,0.726,-5.95,0.077,0.171,0.0,0.12,0.335,Rap
0.7020000000000001,0.688,-3.804,0.3329999999999999,0.287,0.0,0.233,0.517,Rap
0.778,0.573,-7.338999999999999,0.251,0.015,0.0,0.4639999999999999,0.2689999999999999,Rap
0.4639999999999999,0.547,-8.137,0.3389999999999999,0.0511,0.0,0.155,0.423,Rap
0.703,0.723,-5.45,0.0412,0.0302,2.06e-06,0.126,0.288,Rap
0.836,0.747,-3.3680000000000003,0.136,0.3389999999999999,0.0,0.0739,0.758,Rap
0.49,0.618,-5.655,0.104,0.0221,3.77e-06,0.259,0.286,Rap
0.884,0.807,-3.462,0.325,0.0028399999999999,0.0,0.111,0.916,Rap
0.812,0.3979999999999999,-9.832,0.105,0.4529999999999999,5.400000000000001e-06,0.12,0.1889999999999999,Rap
0.835,0.637,-6.582000000000001,0.271,0.4029999999999999,0.0,0.142,0.7120000000000001,Rap
0.696,0.482,-10.492,0.0675,0.254,0.0158,0.0941,0.198,Rap
0.746,0.527,-6.93,0.259,0.0038799999999999,0.0,0.296,0.392,Rap
0.742,0.5589999999999999,-5.876,0.141,0.0324,0.0,0.0987,0.431,Rap
0.562,0.74,-8.371,0.245,0.248,0.0,0.125,0.149,Rap
0.528,0.77,-9.256,0.363,0.067,3.28e-05,0.151,0.374,Rap
0.732,0.621,-8.681000000000001,0.156,0.0767,0.0,0.369,0.171,Rap
0.951,0.588,-9.458,0.0928,0.129,0.0604,0.1009999999999999,0.301,Rap
0.7340000000000001,0.693,-8.765,0.301,0.452,1.23e-06,0.111,0.441,Rap
0.8759999999999999,0.647,-3.917,0.28,0.16,0.0,0.238,0.961,Rap
0.539,0.937,-5.265,0.123,0.0599,2e-06,0.0915,0.775,Rap
0.6729999999999999,0.649,-8.433,0.196,0.188,0.0,0.122,0.47,Rap
0.7659999999999999,0.703,-5.877000000000001,0.163,0.00807,0.0,0.0618,0.331,Rap
0.626,0.7759999999999999,-4.9510000000000005,0.231,0.0736,0.0,0.217,0.4679999999999999,Rap
0.687,0.5920000000000001,-6.377999999999999,0.225,0.203,0.0,0.2789999999999999,0.245,Rap
0.8859999999999999,0.542,-5.424,0.3379999999999999,0.113,0.0,0.151,0.314,Rap
0.585,0.909,-6.474,0.0707,0.0891,9.7e-05,0.119,0.758,Rap
0.862,0.6890000000000001,-5.68,0.3229999999999999,0.118,0.0,0.0729,0.364,Rap
0.755,0.594,-5.906000000000001,0.216,0.241,0.0,0.107,0.237,Rap
0.701,0.768,-3.531,0.2289999999999999,0.354,0.0,0.148,0.7240000000000001,Rap
0.609,0.799,-6.882999999999999,0.24,0.33,0.0,0.108,0.5820000000000001,Rap
0.831,0.499,-8.442,0.114,0.2689999999999999,0.0,0.3,0.511,Rap
0.741,0.782,-6.52,0.0282,0.6990000000000001,2.35e-06,0.222,0.3279999999999999,Rap
0.7120000000000001,0.598,-5.367999999999999,0.0388,0.0546,0.0,0.154,0.504,Rap
0.7440000000000001,0.7090000000000001,-5.359,0.1009999999999999,0.275,0.0,0.126,0.72,Rap
0.904,0.518,-5.32,0.183,0.0305,0.0,0.325,0.188,Rap
0.552,0.583,-8.497,0.238,0.515,0.0,0.235,0.71,Rap
0.8079999999999999,0.639,-5.945,0.385,0.616,0.0,0.103,0.713,Rap
0.732,0.462,-10.191,0.406,0.126,0.0,0.12,0.1169999999999999,Rap
0.809,0.82,-4.485,0.114,0.0212,0.0005679999999999,0.0989,0.395,Rap
0.745,0.642,-6.257000000000001,0.287,0.0204,0.0,0.0658,0.226,Rap
0.6779999999999999,0.395,-8.639,0.12,0.411,0.0054399999999999,0.122,0.136,Rap
0.6940000000000001,0.6970000000000001,-7.372999999999999,0.0379,0.162,0.0,0.0821,0.379,Rap
0.888,0.43,-6.728,0.588,0.0786,1.58e-06,0.132,0.45,Rap
0.779,0.7829999999999999,-3.912,0.0725,0.0432,0.0,0.147,0.23,Rap
0.784,0.6459999999999999,-7.561,0.236,0.267,6.11e-06,0.0712,0.381,Rap
0.599,0.622,-4.313,0.264,0.124,0.00278,0.158,0.1989999999999999,Rap
0.7879999999999999,0.6890000000000001,-7.211,0.13,0.0112,0.0,0.22,0.6809999999999999,Rap
0.897,0.867,-3.293,0.289,0.2239999999999999,0.0,0.1169999999999999,0.7909999999999999,Rap
0.635,0.537,-7.895,0.0832,0.172,0.0,0.418,0.3829999999999999,Rap
0.755,0.83,-6.494,0.0613,0.0916,3.81e-05,0.298,0.513,Rap
0.644,0.8009999999999999,-4.55,0.387,0.511,8.59e-06,0.614,0.764,Rap
0.6990000000000001,0.5579999999999999,-7.622000000000001,0.0603,0.462,0.0,0.1159999999999999,0.493,Rap
0.8759999999999999,0.492,-8.11,0.153,0.0136,0.000283,0.0678,0.4,Rap
0.911,0.636,-6.202000000000001,0.198,0.00856,0.0,0.0959,0.431,Rap
0.866,0.613,-6.385,0.151,0.0293,0.0,0.104,0.359,Rap
0.57,0.903,-4.835,0.0905,0.0748,0.0,0.1989999999999999,0.603,Rap
0.7859999999999999,0.487,-12.404000000000002,0.184,0.291,1.86e-06,0.128,0.7240000000000001,Rap
0.8370000000000001,0.482,-8.607999999999999,0.365,0.268,0.0,0.0991,0.444,Rap
0.853,0.637,-5.924,0.331,0.129,0.0,0.267,0.496,Rap
0.706,0.589,-8.309,0.0327,0.0617,4.77e-06,0.105,0.767,Rap
0.887,0.725,-6.534,0.295,0.159,0.0,0.3329999999999999,0.441,Rap
0.78,0.402,-9.255,0.149,0.188,0.0,0.0597,0.483,Rap
0.87,0.446,-9.818,0.424,0.449,0.0,0.16,0.684,Rap
0.644,0.597,-8.305,0.206,0.0167,5.41e-05,0.1119999999999999,0.341,Rap
0.715,0.652,-7.909,0.396,0.1009999999999999,0.0,0.11,0.498,Rap
0.743,0.732,-4.511,0.104,0.0509,1.77e-05,0.2269999999999999,0.3389999999999999,Rap
0.564,0.639,-5.93,0.191,0.0175,0.0,0.107,0.3279999999999999,Rap
0.72,0.412,-8.687000000000001,0.223,0.196,0.0,0.342,0.179,Rap
0.66,0.491,-6.645,0.1009999999999999,0.0338,0.0,0.1009999999999999,0.376,Rap
0.693,0.879,-5.24,0.0984,0.0162,0.0,0.26,0.474,Rap
0.903,0.611,-8.006,0.268,0.109,0.000199,0.0904,0.3289999999999999,Rap
0.768,0.622,-6.56,0.308,0.3429999999999999,2.21e-06,0.0789,0.603,Rap
0.768,0.436,-12.956,0.1689999999999999,0.0826,0.00594,0.255,0.392,Rap
0.89,0.3929999999999999,-10.821,0.267,0.331,8.81e-06,0.283,0.304,Rap
0.485,0.604,-4.591,0.345,0.141,0.0,0.0668,0.45,Rap
0.884,0.445,-10.58,0.418,0.222,0.0,0.1119999999999999,0.851,Rap
0.701,0.65,-6.313,0.104,0.291,0.0,0.1119999999999999,0.647,Rap
0.784,0.4589999999999999,-7.614,0.311,0.00469,0.0,0.25,0.2769999999999999,Rap
0.841,0.695,-5.625,0.415,0.001,4.26e-05,0.1889999999999999,0.408,Rap
