danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,genre
0.732,0.654,-6.136,0.045,0.102,0.0,0.215,0.369,153597,Rap
0.68,0.6920000000000001,-6.546,0.0392,0.465,0.0,0.35,0.902,98287,Rap
0.862,0.65,-6.978,0.355,0.0207,0.0,0.568,0.6579999999999999,115350,Rap
0.901,0.65,-4.137,0.0981,0.0038,0.0,0.111,0.295,163955,Rap
0.7120000000000001,0.493,-7.129,0.278,0.00474,0.0,0.158,0.246,123600,Rap
0.703,0.6,-7.751,0.354,0.605,0.0,0.087,0.522,77500,Rap
0.802,0.591,-4.895,0.225,0.0104,0.0,0.196,0.309,157712,Rap
0.931,0.667,-7.042999999999999,0.318,0.0144,0.0,0.15,0.667,207739,Rap
0.8370000000000001,0.659,-3.619,0.157,0.1669999999999999,0.0,0.0912,0.427,182992,Rap
0.442,0.737,-5.046,0.109,0.0589,0.0,0.102,0.21,218320,Rap
0.638,0.4,-11.212,0.0425,0.733,0.000133,0.3339999999999999,0.495,166093,Rap
0.821,0.61,-6.22,0.0959,0.0247,0.0,0.185,0.47,192936,Rap
0.675,0.763,-6.232,0.368,0.0198,0.0,0.109,0.376,263993,Rap
0.8959999999999999,0.72,-6.2620000000000005,0.355,0.1689999999999999,0.0,0.252,0.966,212093,Rap
0.753,0.502,-6.879,0.264,0.0439,1.54e-06,0.128,0.349,178217,Rap
0.8059999999999999,0.7559999999999999,-4.093,0.208,0.385,0.0,0.11,0.637,283867,Rap
0.537,0.624,-8.794,0.325,0.000175,2.2e-06,0.1159999999999999,0.409,127427,Rap
0.741,0.562,-5.474,0.165,0.172,0.0,0.0751,0.292,240926,Rap
0.804,0.823,-5.837000000000001,0.0488,0.104,0.0,0.2,0.616,217147,Rap
0.903,0.716,-7.733,0.409,0.244,0.0,0.113,0.8540000000000001,202000,Rap
0.8590000000000001,0.647,-6.902,0.336,0.0072599999999999,0.0,0.108,0.1689999999999999,175701,Rap
0.804,0.66,-4.86,0.0726,0.0319,0.0,0.103,0.257,169345,Rap
0.685,0.746,-4.558,0.2739999999999999,0.0127,0.0,0.32,0.594,151500,Rap
0.908,0.669,-2.827,0.0738,0.00286,0.0,0.237,0.662,290320,Rap
0.706,0.5760000000000001,-7.665,0.2,0.0199,0.0,0.133,0.319,218070,Rap
0.885,0.54,-8.559,0.242,0.0363,0.0,0.3379999999999999,0.865,84960,Rap
0.865,0.62,-7.486000000000001,0.182,0.478,0.0,0.228,0.777,185747,Rap
0.7959999999999999,0.7659999999999999,-5.974,0.238,0.0742,0.0,0.0827,0.5579999999999999,219333,Rap
0.86,0.507,-5.776,0.369,0.0408,6.15e-06,0.14,0.15,225920,Rap
0.8240000000000001,0.8590000000000001,-5.667999999999999,0.302,0.0492,0.0,0.28,0.903,102840,Rap
0.802,0.738,-5.287000000000001,0.1669999999999999,0.00366,0.0,0.223,0.484,118360,Rap
0.718,0.552,-6.287000000000001,0.44,0.557,0.0,0.119,0.427,192572,Rap
0.565,0.569,-6.084,0.379,0.0352,8.81e-06,0.106,0.303,214825,Rap
0.7140000000000001,0.861,-6.077999999999999,0.1889999999999999,0.268,0.0,0.21,0.16,263040,Rap
0.555,0.611,-9.216,0.356,0.286,0.00106,0.273,0.411,324533,Rap
0.7340000000000001,0.693,-8.765,0.301,0.452,1.23e-06,0.111,0.441,225882,Rap
0.778,0.518,-11.608,0.225,0.0643,0.0124,0.109,0.471,179252,Rap
0.7170000000000001,0.664,-5.023,0.205,0.0529,0.0,0.096,0.7170000000000001,272840,Rap
0.551,0.57,-7.385,0.351,0.28,0.0,0.424,0.505,271184,Rap
0.85,0.183,-16.45,0.344,0.8079999999999999,0.0,0.0975,0.7190000000000001,163536,Rap
0.903,0.327,-9.727,0.0877,0.26,0.011,0.108,0.2739999999999999,106000,Rap
0.5479999999999999,0.7240000000000001,-6.681,0.275,0.39,0.0,0.469,0.481,516000,Rap
0.7829999999999999,0.522,-6.229,0.39,0.0287,4.13e-05,0.127,0.235,157293,Rap
0.732,0.6629999999999999,-7.616,0.192,0.0819,0.0,0.115,0.2269999999999999,210587,Rap
0.884,0.657,-4.569,0.0977,0.00589,0.0,0.154,0.489,234693,Rap
0.8809999999999999,0.457,-8.191,0.156,0.0327,0.0,0.231,0.296,198913,Rap
0.851,0.6659999999999999,-5.334,0.0694,0.139,0.0,0.105,0.0585,129105,Rap
0.652,0.795,-5.192,0.174,0.156,0.0,0.123,0.7879999999999999,304607,Rap
0.838,0.455,-8.467,0.263,0.00386,0.0,0.0988,0.341,209345,Rap
0.868,0.479,-6.687,0.445,0.703,0.0,0.102,0.7759999999999999,115200,Rap
0.7,0.556,-8.356,0.128,0.261,0.0,0.144,0.351,135419,Rap
0.616,0.3879999999999999,-8.952,0.0719,0.0166,0.292,0.146,0.127,202935,Rap
0.718,0.469,-11.092,0.179,0.0904,0.0,0.133,0.585,240048,Rap
0.736,0.604,-7.357,0.222,0.0652,6.43e-05,0.124,0.574,264532,Rap
0.853,0.4379999999999999,-9.146,0.204,0.0020399999999999,4.43e-06,0.1009999999999999,0.151,217208,Rap
0.957,0.46,-7.513,0.325,0.00418,0.000748,0.0947,0.191,290325,Rap
